LeadID,CampaignID,FirstName,LastName,Email,PhoneNumber,LeadSource,Status
762468,690482,Heather,Lee,grosslarry@example.org,827-747-0509x272,Direct Mail,Contacted
773544,819131,Shannon,Richardson,jonestyler@example.net,+1-907-601-0871x424,Referral,New
987357,556556,Christina,Lee,greg22@example.org,+1-858-687-1278x067,Social Media,New
445532,997189,Sharon,Alexander,stephensonstephen@example.com,8295090708,Email Campaign,Closed
739709,248673,Gloria,Lamb,sawyerryan@example.org,+1-652-797-8648,Email Campaign,Contacted
800669,111123,Jonathan,Shields,martinezcynthia@example.org,4205557479,Website,Contacted
110053,681017,Caleb,Nash,nicholemartinez@example.org,+1-473-876-6913x045,Direct Mail,Contacted
981296,543709,John,Weaver,greeneelaine@example.com,580-340-8533x956,Direct Mail,New
547249,656127,Heather,Conner,david71@example.com,584.415.4149x2796,Referral,New
296926,986529,Tamara,Richardson,jonesadrian@example.com,207-435-6155,Social Media,Contacted
244619,335662,Mark,Mcclain,michaelnewton@example.org,001-331-643-7631,Email Campaign,New
943990,159538,Jonathan,Smith,crystal43@example.net,+1-942-698-7803x9394,Social Media,Contacted
655995,762364,Eric,Vargas,dmcdonald@example.com,687.478.3603x183,Referral,Closed
627475,574399,Carlos,Bowen,estradanicholas@example.org,+1-474-876-8472x234,Social Media,Closed
261137,281856,Lisa,Pena,fgreen@example.org,776-793-7540x614,Social Media,Contacted
476282,408362,Joseph,Carson,kevin55@example.org,491.261.7765,Social Media,Qualified
326897,467424,Bryan,Brown,justinallen@example.net,+1-953-494-0720x2057,Social Media,Qualified
178032,491287,Robert,Camacho,austinaaron@example.net,+1-553-956-4522x197,Referral,Closed
260998,122532,Charles,Lee,annayu@example.net,+1-917-695-6686x094,Email Campaign,Converted
878965,539704,Nathaniel,Williams,johnsondaniel@example.org,001-547-942-3223x67897,Email Campaign,Qualified
278838,936197,Laura,Johnson,michael47@example.org,(293)979-1830x617,Direct Mail,New
376105,115964,Hannah,Lopez,stephaniestewart@example.org,(372)944-8672x9314,Direct Mail,Contacted
180254,608802,Jessica,Hernandez,khowell@example.org,(273)638-8056,Referral,Closed
459815,456394,Jessica,Farrell,gomeznicholas@example.net,+1-381-843-6556x2565,Direct Mail,Converted
224844,227820,Devin,Ortiz,ogonzales@example.com,001-441-460-9868x901,Social Media,Converted
311192,488993,Carol,Luna,harrisnoah@example.org,+1-272-224-0211,Referral,Converted
262359,980847,Elaine,Winters,sharonpoole@example.com,(532)987-2574x82471,Referral,Converted
684394,411791,Thomas,Holland,suarezgregory@example.com,001-225-424-1397x775,Email Campaign,Contacted
